category,pub_year,source,title_t1_count,title_t2_count,title_t3_count,abstract_t1_count,abstract_t2_count,abstract_t3_count,total_t1_count,total_t2_count,total_t3_count,total_papers,title_t1_pct,title_t2_pct,title_t3_pct,abstract_t1_pct,abstract_t2_pct,abstract_t3_pct,total_t1_pct,total_t2_pct,total_t3_pct
Life & Earth Sciences,2024,OpenAlex,334,500,6913,4452,3208,41758,4517,3343,42601,111731,0.2989322569385399,0.4475033786505088,6.187181713221935,3.9845700835041304,2.8711816774216645,37.37369217137589,4.042745522728697,2.9920075896573017,38.12818286778065
Life & Earth Sciences,2024,PubMed,184,616,7985,2790,3394,43560,2855,3590,45250,131608,0.13980913014406418,0.46805665309099753,6.067260348914959,2.1199319190322776,2.5788705853747493,33.09829189714911,2.1693210139201264,2.727797702267339,34.38240836423317
Life & Earth Sciences,2025,OpenAlex,224,351,5606,2611,2164,35105,2652,2268,35756,81666,0.27428795337104794,0.42979942693409745,6.864545833027208,3.197168956481277,2.649817549531017,42.98606519236892,3.2473734479465137,2.77716552788186,43.78321455685353
Life & Earth Sciences,2025,PubMed,154,512,7075,1862,2789,39353,1915,2994,40812,105690,0.1457091493991863,0.48443561358690507,6.694105402592488,1.7617560790992526,2.638849465417731,37.23436465133882,1.8119027344119596,2.8328129435140506,38.61481691739994
Medical & Health Sciences,2010,OpenAlex,152,155,879,1741,838,6156,1774,876,6332,28409,0.5350417121334788,0.545601745925587,3.0940899010876834,6.128339610686754,2.9497694392622056,21.669189341405893,6.244499982399944,3.0835298672955753,22.288711323876235
Medical & Health Sciences,2010,PubMed,531,896,6423,5478,4461,38502,5602,4665,39675,138527,0.38331877540118536,0.6468053159311903,4.636641232395129,3.9544637507489515,3.220310841929732,27.79385968078425,4.043976986435857,3.367574552253352,28.64062601514506
Medical & Health Sciences,2011,OpenAlex,166,190,950,1620,1008,6852,1648,1052,7037,27695,0.5993861707889511,0.6860444123487994,3.4302220617439967,5.849431305289763,3.639646145513631,24.740927965336702,5.950532587109587,3.7985195883733525,25.408918577360534
Medical & Health Sciences,2011,PubMed,688,1210,8558,7104,5784,50644,7251,6005,52102,181374,0.3793266951161688,0.6671297980967504,4.718427117447925,3.9167686658506726,3.188990704290582,27.92241445852217,3.9978166661153196,3.3108383781578397,28.726278297881723
Medical & Health Sciences,2012,OpenAlex,184,245,1434,2188,1414,9449,2233,1467,9737,36659,0.501923129381598,0.6683215581439755,3.911726997463106,5.968520690689871,3.8571701355738015,25.775389399601735,6.0912736299408055,4.001745819580458,26.561008210807714
Medical & Health Sciences,2012,PubMed,639,1322,9370,7565,6557,56093,7707,6809,57764,197512,0.32352464660375063,0.6693264206731743,4.744015553485357,3.830147029041273,3.3197982907367654,28.39979343027259,3.902041394953218,3.4473854753128927,29.245817975616674
Medical & Health Sciences,2013,OpenAlex,268,350,1667,2899,1839,12128,2968,1926,12440,49465,0.5417972303649046,0.7075710098049126,3.3700596381279695,5.860709592641262,3.717780248660669,24.518346305468512,6.000202163145659,3.893662185383605,25.149095319923177
Medical & Health Sciences,2013,PubMed,672,1429,9710,7660,6789,59412,7827,7088,61063,204642,0.3283783387574398,0.6982926281017582,4.744871531748126,3.7431221352410553,3.317500806286099,29.03216348550151,3.8247280616882167,3.463609620703472,29.83893824337135
Medical & Health Sciences,2014,OpenAlex,358,388,1936,3546,2035,14263,3620,2137,14580,67719,0.5286551780150327,0.5729558912565159,2.8588726945170486,5.236344305143313,3.005065048213943,21.06203576544249,5.345619397805637,3.1556874732349858,21.53014663536083
Medical & Health Sciences,2014,PubMed,714,1684,10636,8027,7720,63251,8188,8057,65090,213089,0.3350712613039622,0.7902801176973001,4.991341645978911,3.7669706085250763,3.6228993519139894,29.682902449211362,3.8425258929367536,3.781049232949613,30.545922126435432
Medical & Health Sciences,2015,OpenAlex,387,441,2039,3520,2191,14172,3615,2283,14525,56929,0.6797941295297651,0.7746491243478719,3.5816543413725874,6.18314040295807,3.8486535860457765,24.894166417818685,6.350014930878814,4.01025839203218,25.514237032092606
Medical & Health Sciences,2015,PubMed,712,1920,10717,8266,8432,65012,8440,8735,66835,218379,0.32603867588000673,0.879205418103389,4.907523159278136,3.785162492730528,3.8611771278373834,29.770261792571628,3.864840483746148,3.999926732881825,30.605049020281257
